seed,V,baseline_lr_bestC,baseline_lr_val_macro_f1,baseline_lr_test_macro_f1,compact_sel_bestC_SEL,compact_sel_bestPANEL,compact_lr_bestC,compact_lr_val_macro_f1,compact_lr_test_macro_f1
123,3000,3.0,0.8297252234856283,0.839333817681115,0.1,100,3.0,0.802708849850356,0.740635213842761
124,3000,1.0,0.8137778726487029,0.8070423693953106,0.1,80,0.3,0.8060692350959325,0.813218847209128
125,3000,0.3,0.8039403825011211,0.8041958532986259,0.1,100,0.3,0.7577488417214445,0.7336542443064182
126,3000,0.3,0.8530037710620235,0.8093263111696292,0.1,120,1.0,0.7907209746662264,0.7547301111352184
127,3000,1.0,0.8117905440632853,0.83975223914017,0.3,100,0.3,0.7817333179725752,0.7787229788747816
