Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library
KEGG_2021_Human,Arachidonic acid metabolism,1/61,0.1853532713683345,0.4754406726762682,0,0,5.018434343434343,8.458529432152757,PLA2G2A,KEGG_2021_Human
KEGG_2021_Human,Basal cell carcinoma,1/63,0.1908190332737445,0.4754406726762682,0,0,4.856060606060606,8.043723352024495,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.1908190332737445,0.4754406726762682,0,0,4.856060606060606,8.043723352024495,IL6,KEGG_2021_Human
KEGG_2021_Human,Calcium signaling pathway,2/240,0.1920867612372255,0.4754406726762682,0,0,2.546218487394958,4.200771955093932,CALML3;CACNA1H,KEGG_2021_Human
KEGG_2021_Human,Cortisol synthesis and secretion,1/65,0.1962486671451955,0.4754406726762682,0,0,4.703835227272728,7.659596935052488,CACNA1H,KEGG_2021_Human
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.1962486671451955,0.4754406726762682,0,0,4.703835227272728,7.659596935052488,IL6,KEGG_2021_Human
KEGG_2021_Human,Long-term potentiation,1/67,0.2016424081161643,0.4754406726762682,0,0,4.560835629017447,7.303080955602099,CALML3,KEGG_2021_Human
KEGG_2021_Human,Amphetamine addiction,1/69,0.2070004899280388,0.4754406726762682,0,0,4.426247771836007,6.971491259424047,CALML3,KEGG_2021_Human
KEGG_2021_Human,Renin secretion,1/69,0.2070004899280388,0.4754406726762682,0,0,4.426247771836007,6.971491259424047,CALML3,KEGG_2021_Human
KEGG_2021_Human,Prolactin signaling pathway,1/70,0.2096662312766083,0.4754406726762682,0,0,4.361879666227492,6.814295856385087,CGA,KEGG_2021_Human
KEGG_2021_Human,Pathways of neurodegeneration,3/475,0.2129032541697419,0.4754406726762682,0,0,1.9326999470338984,2.9897272200121714,IL6;CALML3;AXIN2,KEGG_2021_Human
KEGG_2021_Human,p53 signaling pathway,1/73,0.2176106033818391,0.4754406726762682,0,0,4.179503367003367,6.373943403020491,CDK1,KEGG_2021_Human
KEGG_2021_Human,PPAR signaling pathway,1/74,0.2202412057690053,0.4754406726762682,0,0,4.122042341220423,6.236781734178085,OLR1,KEGG_2021_Human
KEGG_2021_Human,Thyroid hormone synthesis,1/75,0.2228630949629938,0.4754406726762682,0,0,4.066134316134316,6.104071157913032,CGA,KEGG_2021_Human
KEGG_2021_Human,Glioma,1/75,0.2228630949629938,0.4754406726762682,0,0,4.066134316134316,6.104071157913032,CALML3,KEGG_2021_Human
KEGG_2021_Human,Gastric acid secretion,1/76,0.2254762993301082,0.4754406726762682,0,0,4.011717171717172,5.975614111882971,CALML3,KEGG_2021_Human
KEGG_2021_Human,Synaptic vesicle cycle,1/78,0.2306767669690713,0.4754406726762682,0,0,3.9071231798504527,5.7307253569817656,SLC6A4,KEGG_2021_Human
KEGG_2021_Human,Colorectal cancer,1/86,0.2511368678628957,0.4754406726762682,0,0,3.537967914438503,4.888612632693461,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Gap junction,1/88,0.2561675606053747,0.4754406726762682,0,0,3.456287008011146,4.707198550804666,CDK1,KEGG_2021_Human
KEGG_2021_Human,Bile secretion,1/90,0.2611649592960544,0.4754406726762682,0,0,3.378277153558052,4.535685187649395,AQP9,KEGG_2021_Human
KEGG_2021_Human,Hypertrophic cardiomyopathy,1/90,0.2611649592960544,0.4754406726762682,0,0,3.378277153558052,4.535685187649395,IL6,KEGG_2021_Human
KEGG_2021_Human,Pathways in cancer,3/531,0.26279038188991,0.4754406726762682,0,0,1.7227450284090908,2.302274029710133,IL6;CALML3;AXIN2,KEGG_2021_Human
KEGG_2021_Human,Salivary secretion,1/93,0.268599105392969,0.4754406726762682,0,0,3.2676218708827403,4.295404379742766,CALML3,KEGG_2021_Human
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.268599105392969,0.4754406726762682,0,0,3.2676218708827403,4.295404379742766,IL6,KEGG_2021_Human
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.278396785071784,0.4754406726762682,0,0,3.130839646464646,4.003429384755102,CALML3,KEGG_2021_Human
KEGG_2021_Human,Glycerophospholipid metabolism,1/98,0.28082593355257,0.4754406726762682,0,0,3.098406747891284,3.9350393284799976,PLA2G2A,KEGG_2021_Human
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,1/98,0.28082593355257,0.4754406726762682,0,0,3.098406747891284,3.9350393284799976,CALML3,KEGG_2021_Human
KEGG_2021_Human,Hematopoietic cell lineage,1/99,0.2832470263652049,0.4754406726762682,0,0,3.066635745207174,3.8683643519169673,IL6,KEGG_2021_Human
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.2856600898087258,0.4754406726762682,0,0,3.0355065809611266,3.8033460819667058,IL6,KEGG_2021_Human
KEGG_2021_Human,Progesterone-mediated oocyte maturation,1/100,0.2856600898087258,0.4754406726762682,0,0,3.0355065809611266,3.8033460819667058,CDK1,KEGG_2021_Human
KEGG_2021_Human,Melanogenesis,1/101,0.2880651501193499,0.4754406726762682,0,0,3.005,3.739928669254431,CALML3,KEGG_2021_Human
KEGG_2021_Human,Amoebiasis,1/102,0.290462233502279,0.4754406726762682,0,0,2.975097509750975,3.67805865550658,IL6,KEGG_2021_Human
KEGG_2021_Human,Chagas disease,1/102,0.290462233502279,0.4754406726762682,0,0,2.975097509750975,3.67805865550658,IL6,KEGG_2021_Human
KEGG_2021_Human,Pancreatic secretion,1/102,0.290462233502279,0.4754406726762682,0,0,2.975097509750975,3.67805865550658,PLA2G2A,KEGG_2021_Human
KEGG_2021_Human,Protein digestion and absorption,1/103,0.2928513659182952,0.4754406726762682,0,0,2.9457813428401662,3.617684851566688,COL17A1,KEGG_2021_Human
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.2952325734058309,0.4754406726762682,0,0,2.9170344218887907,3.558758217453651,IL6,KEGG_2021_Human
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.2952325734058309,0.4754406726762682,0,0,2.9170344218887907,3.558758217453651,CCL13,KEGG_2021_Human
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.299971317013411,0.4754406726762682,0,0,2.8611832611832613,3.445060405339184,MMP13,KEGG_2021_Human
KEGG_2021_Human,Th17 cell differentiation,1/107,0.3023289046213837,0.4754406726762682,0,0,2.8340480274442537,3.3902009494186025,IL6,KEGG_2021_Human
KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,1/30,0.0958333099563512,0.4754406726762682,0,0,10.399164054336469,24.387547080252187,GLDC,KEGG_2021_Human
KEGG_2021_Human,Cushing syndrome,2/155,0.0952612907182658,0.4754406726762682,0,0,3.9778783308195074,9.35251597867776,AXIN2;CACNA1H,KEGG_2021_Human
KEGG_2021_Human,Linoleic acid metabolism,1/29,0.0927897477058275,0.4754406726762682,0,0,10.771103896103895,25.607428374118918,PLA2G2A,KEGG_2021_Human
KEGG_2021_Human,African trypanosomiasis,1/37,0.1168584265281215,0.4754406726762682,0,0,8.37415824915825,17.977576828172595,IL6,KEGG_2021_Human
KEGG_2021_Human,Phototransduction,1/28,0.0897360938612077,0.4754406726762682,0,0,11.170594837261504,26.93098833106541,CALML3,KEGG_2021_Human
KEGG_2021_Human,Circadian entrainment,2/97,0.041985461703278,0.4754406726762682,0,0,6.425263157894737,20.370859092424432,CALML3;CACNA1H,KEGG_2021_Human
KEGG_2021_Human,Aldosterone synthesis and secretion,2/98,0.0427694193952821,0.4754406726762682,0,0,6.358012820512821,20.040023632286136,CALML3;CACNA1H,KEGG_2021_Human
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,2/100,0.0443537761760118,0.4754406726762682,0,0,6.227629513343799,19.402537395096388,CCL13;IL6,KEGG_2021_Human
KEGG_2021_Human,C-type lectin receptor signaling pathway,2/104,0.0475870203994486,0.4754406726762682,0,0,5.982202111613876,18.21697336875912,IL6;CALML3,KEGG_2021_Human
KEGG_2021_Human,Glucagon signaling pathway,2/107,0.0500670463776342,0.4754406726762682,0,0,5.8104029304029305,17.398625470718155,PRMT1;CALML3,KEGG_2021_Human
KEGG_2021_Human,Oocyte meiosis,2/129,0.0695855870024665,0.4754406726762682,0,0,4.798546335554209,12.789075215338269,CDK1;CALML3,KEGG_2021_Human
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0714675389798842,0.4754406726762682,0,0,4.723673225998807,12.463468172750613,IL6;PRMT1,KEGG_2021_Human
KEGG_2021_Human,Vascular smooth muscle contraction,2/133,0.0733660730571608,0.4754406726762682,0,0,4.651086318261891,12.150003348507113,PLA2G2A;CALML3,KEGG_2021_Human
KEGG_2021_Human,Cytokine-cytokine receptor interaction,3/295,0.0764668547628723,0.4754406726762682,0,0,3.152985873287671,8.1060047701778,CCL13;IL6;CXCL17,KEGG_2021_Human
KEGG_2021_Human,alpha-Linolenic acid metabolism,1/25,0.0805142527998034,0.4754406726762682,0,0,12.568813131313131,31.66487558090284,PLA2G2A,KEGG_2021_Human
KEGG_2021_Human,Cellular senescence,3/156,0.0154943768176814,0.4754406726762682,0,0,6.060049019607843,25.253909605762995,IL6;CDK1;CALML3,KEGG_2021_Human
KEGG_2021_Human,GnRH secretion,2/64,0.0195020808738871,0.4754406726762682,0,0,9.861538461538462,38.82718558441817,CGA;CACNA1H,KEGG_2021_Human
KEGG_2021_Human,Pertussis,2/76,0.0268728410411346,0.4754406726762682,0,0,8.257380457380457,29.863965266146195,IL6;CALML3,KEGG_2021_Human
KEGG_2021_Human,Lipid and atherosclerosis,3/215,0.0355076206896046,0.4754406726762682,0,0,4.36048054245283,14.55531866518621,IL6;OLR1;CALML3,KEGG_2021_Human
KEGG_2021_Human,GnRH signaling pathway,2/93,0.0389054793329243,0.4754406726762682,0,0,6.709044801352493,21.781720249918123,CALML3;CGA,KEGG_2021_Human
KEGG_2021_Human,IL-17 signaling pathway,2/94,0.0396670075092318,0.4754406726762682,0,0,6.635785953177257,21.41524387842656,IL6;MMP13,KEGG_2021_Human
KEGG_2021_Human,Maturity onset diabetes of the young,1/26,0.0835983795138284,0.4754406726762682,0,0,12.065454545454546,29.94321429852069,NKX2-2,KEGG_2021_Human
GO_Biological_Process_2023,Neuron Differentiation (GO:0030182),1/173,0.4417993095069308,0.4756568266840975,0,0,1.740750528541226,1.4220183250048035,BRINP3,GO_Biological_Process_2023
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),1/174,0.4436855944009923,0.4767964596547977,0,0,1.7306008057453144,1.4063538606534318,ALKAL2,GO_Biological_Process_2023
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),1/176,0.4474393466154506,0.479934941621042,0,0,1.7106493506493508,1.3757286508209143,CCL13,GO_Biological_Process_2023
Reactome_2022,HCMV Infection R-HSA-9609646,1/121,0.3345253514355395,0.4824884876474127,0,0,2.5016414141414143,2.739403951532668,PCSK1,Reactome_2022
Reactome_2022,Cell-Cell Communication R-HSA-1500931,1/120,0.3322749740020231,0.4824884876474127,0,0,2.5227909345556405,2.7795919236833835,COL17A1,Reactome_2022
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,2/354,0.3329686660833368,0.4824884876474127,0,0,1.711625874125874,1.8822867656372604,PRMT1;CDK1,Reactome_2022
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production (GO:0001818),1/178,0.451168145689403,0.4830350407380968,0,0,1.6911487758945387,1.3460109830208558,IL6,GO_Biological_Process_2023
GO_Biological_Process_2023,Endosomal Transport (GO:0016197),1/180,0.454872155026247,0.4860971452599597,0,0,1.6720839681733537,1.3171655481364712,ANXA8,GO_Biological_Process_2023
KEGG_2021_Human,Neurotrophin signaling pathway,1/119,0.3300171006210132,0.4893357009208127,0,0,2.5442989214175653,2.820637277470192,CALML3,KEGG_2021_Human
GO_Biological_Process_2023,RNA Processing (GO:0006396),1/183,0.4603820430618427,0.4910741792659656,0,0,1.6442723942723942,1.2754598037950773,PRMT1,GO_Biological_Process_2023
GO_Biological_Process_2023,Phosphate-Containing Compound Metabolic Process (GO:0006796),1/184,0.4622064527564519,0.4921089034893092,0,0,1.6352045040569632,1.261958643855337,PLA2G2A,GO_Biological_Process_2023
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),1/186,0.4658370626075556,0.4950593137674392,0,0,1.6173628173628174,1.2355347635651497,OVOL2,GO_Biological_Process_2023
Reactome_2022,Glycerophospholipid Biosynthesis R-HSA-1483206,1/127,0.3478715679592218,0.4985420559925154,0,0,2.381794131794132,2.5149886443944003,PLA2G2A,Reactome_2022
GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),1/189,0.4712377518528906,0.49987651025279,0,0,1.591312056737589,1.19729130649007,IL6,GO_Biological_Process_2023
KEGG_2021_Human,Cell cycle,1/124,0.341231752702783,0.5002147283938524,0,0,2.440256220744025,2.623747397118361,CDK1,KEGG_2021_Human
Reactome_2022,G1/S Transition R-HSA-69206,1/129,0.3522614411125235,0.5016381281665684,0,0,2.344341856060606,2.4460432707487167,CDK1,Reactome_2022
KEGG_2021_Human,Dopaminergic synapse,1/132,0.3587917237060774,0.502264052103357,0,0,2.2903076567198704,2.3475956160594764,CALML3,KEGG_2021_Human
KEGG_2021_Human,Measles,1/139,0.3737778992397075,0.502264052103357,0,0,2.1733640755379886,2.138793482186481,IL6,KEGG_2021_Human
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.3695317008446938,0.502264052103357,0,0,2.205548128342246,2.1956645122139125,CALML3,KEGG_2021_Human
KEGG_2021_Human,Apelin signaling pathway,1/137,0.3695317008446938,0.502264052103357,0,0,2.205548128342246,2.1956645122139125,CALML3,KEGG_2021_Human
KEGG_2021_Human,Insulin signaling pathway,1/137,0.3695317008446938,0.502264052103357,0,0,2.205548128342246,2.1956645122139125,CALML3,KEGG_2021_Human
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.3522614411125235,0.502264052103357,0,0,2.344341856060606,2.4460432707487167,MMP13,KEGG_2021_Human
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.3737778992397075,0.502264052103357,0,0,2.1733640755379886,2.138793482186481,CALML3,KEGG_2021_Human
KEGG_2021_Human,Yersinia infection,1/137,0.3695317008446938,0.502264052103357,0,0,2.205548128342246,2.1956645122139125,IL6,KEGG_2021_Human
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,1/131,0.3566222013839577,0.5046540585622042,0,0,2.308041958041958,2.379772017624197,IL6,Reactome_2022
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.3821859577355583,0.508267923174093,0,0,2.1117157490396927,2.0311495454332995,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.3966332866025283,0.5094229224653688,0,0,2.0117958104535285,1.8603943677720447,CALML3,KEGG_2021_Human
KEGG_2021_Human,Phagosome,1/152,0.4006996125992785,0.5094229224653688,0,0,1.9849488260084287,1.8153215070510795,OLR1,KEGG_2021_Human
KEGG_2021_Human,Gastric cancer,1/149,0.3945899437252798,0.5094229224653688,0,0,2.0254914004914006,1.8835210024911968,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Breast cancer,1/147,0.3904827866654187,0.5094229224653688,0,0,2.053445413034454,1.931001319225628,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Oxytocin signaling pathway,1/154,0.4047389402575044,0.5094229224653688,0,0,1.9588037235096056,1.7717634552242214,CALML3,KEGG_2021_Human
KEGG_2021_Human,Non-alcoholic fatty liver disease,1/155,0.4067485349917286,0.5094229224653688,0,0,1.9459858323494688,1.7505312773378598,IL6,KEGG_2021_Human
Reactome_2022,Cell Surface Interactions At Vascular Wall R-HSA-202733,1/134,0.3631091709443634,0.5106222716405111,0,0,2.255639097744361,2.285079120742592,OLR1,Reactome_2022
KEGG_2021_Human,Wnt signaling pathway,1/166,0.4284177495076014,0.5115891104464445,0,0,1.81524334251607,1.5387028350226102,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Hepatitis B,1/162,0.4206297818547611,0.5115891104464445,0,0,1.8607189911537736,1.6113867588940012,IL6,KEGG_2021_Human
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.4206297818547611,0.5115891104464445,0,0,1.8607189911537736,1.6113867588940012,IL6,KEGG_2021_Human
KEGG_2021_Human,cGMP-PKG signaling pathway,1/167,0.4303485720817955,0.5115891104464445,0,0,1.8042168674698795,1.5212430716654577,CALML3,KEGG_2021_Human
KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.432272969291957,0.5115891104464445,0,0,1.7933224460170567,1.5040559791814745,AXIN2,KEGG_2021_Human
KEGG_2021_Human,Hippo signaling pathway,1/163,0.4225865178707583,0.5115891104464445,0,0,1.849139543583988,1.5927768290125943,AXIN2,KEGG_2021_Human
GO_Biological_Process_2023,Golgi Vesicle Transport (GO:0048193),1/197,0.4853780120744478,0.513929659843533,0,0,1.5257421150278294,1.102848031050523,CCL13,GO_Biological_Process_2023
Reactome_2022,Generic Transcription Pathway R-HSA-212436,5/1190,0.3683560309544338,0.5147832730729666,0,0,1.2758949230978631,1.274243064168274,IL6;MMP13;PRMT1;CDK1;SLC6A4,Reactome_2022
KEGG_2021_Human,Influenza A,1/172,0.4399067246132669,0.5158906134101039,0,0,1.7510189615452774,1.4379237507456937,IL6,KEGG_2021_Human
Reactome_2022,Neuronal System R-HSA-112316,2/386,0.3719033270089167,0.5165323986234955,0,0,1.566426282051282,1.5493856507608477,KCNF1;SLC6A4,Reactome_2022
Reactome_2022,C-type Lectin Receptors (CLRs) R-HSA-5621481,1/141,0.37799592351267,0.5211626696393976,0,0,2.1420995670995677,2.083988406812137,MUC16,Reactome_2022
Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,1/143,0.3821859577355583,0.5211626696393976,0,0,2.1117157490396927,2.0311495454332995,MUC16,Reactome_2022
Reactome_2022,Beta-catenin Independent WNT Signaling R-HSA-3858494,1/142,0.3800944279469707,0.5211626696393976,0,0,2.1267999140339566,2.0573291912394764,AXIN2,Reactome_2022
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),1/204,0.4974447190858461,0.5257397398044906,0,0,1.4726078519181969,1.0282791305452124,IL6,GO_Biological_Process_2023
Reactome_2022,G2/M Checkpoints R-HSA-69481,1/148,0.3925397845440198,0.5288709672000268,0,0,2.039373325087611,1.9070534507964187,CDK1,Reactome_2022
Reactome_2022,Mitotic G1 Phase And G1/S Transition R-HSA-453279,1/147,0.3904827866654187,0.5288709672000268,0,0,2.053445413034454,1.931001319225628,CDK1,Reactome_2022
GO_Biological_Process_2023,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),1/207,0.502530440815671,0.5301420034978508,0,0,1.4509414533686378,0.9983914532918156,AXIN2,GO_Biological_Process_2023
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.4567149143225834,0.5307767923208402,0,0,1.6627104377104378,1.303059357256488,IL6,KEGG_2021_Human
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.4765846437653594,0.5346036438759248,0,0,1.566079644613676,1.1606371839686866,IL6,KEGG_2021_Human
KEGG_2021_Human,Chemokine signaling pathway,1/192,0.4765846437653594,0.5346036438759248,0,0,1.566079644613676,1.1606371839686866,CCL13,KEGG_2021_Human
KEGG_2021_Human,Alcoholism,1/186,0.4658370626075556,0.5346036438759248,0,0,1.6173628173628174,1.2355347635651497,CALML3,KEGG_2021_Human
KEGG_2021_Human,Neutrophil extracellular trap formation,1/189,0.4712377518528906,0.5346036438759248,0,0,1.591312056737589,1.19729130649007,AQP9,KEGG_2021_Human
KEGG_2021_Human,Pathogenic Escherichia coli infection,1/197,0.4853780120744478,0.5397738237724463,0,0,1.5257421150278294,1.102848031050523,IL6,KEGG_2021_Human
GO_Biological_Process_2023,Regulation Of GTPase Activity (GO:0043087),1/214,0.5142007957162641,0.5414618982313859,0,0,1.40275999430929,0.9330337979146626,CCL13,GO_Biological_Process_2023
KEGG_2021_Human,Viral carcinogenesis,1/203,0.495738123765279,0.5419509997095,0,0,1.47997299729973,1.038508104592422,CDK1,KEGG_2021_Human
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.4940258198910451,0.5419509997095,0,0,1.487411427709935,1.0488741922590543,IL6,KEGG_2021_Human
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,1/157,0.4107476958895455,0.5501085212806414,0,0,1.9208430458430457,1.709120294742469,CDK1,Reactome_2022
KEGG_2021_Human,Rap1 signaling pathway,1/210,0.507565456752351,0.5502180161433048,0,0,1.4298970566913152,0.9696555156075702,CALML3,KEGG_2021_Human
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),1/220,0.523988992584204,0.550698955794597,0,0,1.363913103639131,0.8814760365302386,AXIN2,GO_Biological_Process_2023
